Points_0,Points_1,Points_2,Fraction Of Fluid,Heat Flux Spatial Distribution,Temperature,Temperature Gradient At Tgrdout,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude
0.005407,9.16242e-05,-0.000179797,0.999948,0,1590.15,1.07568e+06,0.000314846,0.000194721,-7.43E-05,0.000377581
0.00540218,2.87143e-05,-0.000171286,0.999961,0,1607.3,1.10385e+06,0.000430696,0.000194721,-0.000144369,0.000494224
0.00535,5e-05,-0.00015,0.999934,0,1550.33,1.02535e+06,0.000120262,0,-0.000120262,0.000170076
0.00535,5e-05,-0.00015,0.999952,0,1567.18,1.03249e+06,0.000240524,0,-0.000240524,0.000340152
0.00535,5e-05,-0.00015,0.999934,0,1550.33,1.02535e+06,0.000120262,0,-0.000120262,0.000170076
0.00540218,2.87143e-05,-0.000171286,0.999961,0,1607.3,1.10385e+06,0.000430696,0.000194721,-0.000144369,0.000494224
0.00550019,9.9812e-05,-0.000196944,0.999971,0,1608.58,1.16575e+06,0.000324832,0.000276052,6.43358e-05,0.000431114
0.0055,2.50024e-05,-0.000174998,0.999976,0,1625.91,1.21061e+06,8.65572e-05,0.000276052,1.77361e-05,0.000289847
0.005407,9.16242e-05,-0.000179797,0.999948,0,1590.15,1.07567e+06,0.000314846,0.000194721,-7.43E-05,0.000377581
0.00540218,2.87143e-05,-0.000171286,0.999961,0,1607.3,1.10385e+06,0.000430696,0.000194721,-0.000144369,0.000494224
0.005407,9.16242e-05,-0.000179797,0.999948,0,1590.15,1.07567e+06,0.000314846,0.000194721,-7.43E-05,0.000377581
0.0055,2.50024e-05,-0.000174998,0.999976,0,1625.91,1.21061e+06,8.65572e-05,0.000276052,1.77361e-05,0.000289847
0.00559995,9.99539e-05,-0.000198483,0.999986,0,1606.24,1.26231e+06,0.000186174,0.000156224,7.4322e-05,0.000254147
0.0056,2.50013e-05,-0.000174999,0.999987,0,1625.75,1.32116e+06,-0.00015688,0.000156224,-0.000206575,0.000302805
0.00550019,9.9812e-05,-0.000196944,0.999971,0,1608.58,1.16575e+06,0.000324832,0.000276052,6.43358e-05,0.000431114
0.0055,2.50024e-05,-0.000174998,0.999976,0,1625.91,1.21061e+06,8.65572e-05,0.000276052,1.77361e-05,0.000289847
0.00550019,9.9812e-05,-0.000196944,0.999971,0,1608.58,1.16575e+06,0.000324832,0.000276052,6.43358e-05,0.000431114
0.0056,2.50013e-05,-0.000174999,0.999987,0,1625.75,1.32116e+06,-0.00015688,0.000156224,-0.000206575,0.000302805
0.00567528,9.67872e-05,-0.000172114,0.999996,0,1574.28,1.01465e+06,5.5926e-05,7.48932e-05,5.5926e-05,0.000108924
0.00566081,4.92144e-05,-0.000150786,0.999996,0,1594.88,1.40926e+06,-5.33E-05,7.48932e-05,-0.000128157,0.000157703
0.00559995,9.99539e-05,-0.000198483,0.999986,0,1606.24,1.26231e+06,0.000186174,0.000156224,7.4322e-05,0.000254147
0.0056,2.50013e-05,-0.000174999,0.999987,0,1625.75,1.32116e+06,-0.00015688,0.000156224,-0.000206575,0.000302805
0.00559995,9.99539e-05,-0.000198483,0.999986,0,1606.24,1.26231e+06,0.000186174,0.000156224,7.4322e-05,0.000254147
0.00566081,4.92144e-05,-0.000150786,0.999996,0,1594.88,1.40926e+06,-5.33E-05,7.48932e-05,-0.000128157,0.000157703
0.00550406,0.000168705,-0.000168705,0.999983,0,1555.84,856259,0.000281553,0.000138026,5.54677e-05,0.000318434
0.00550019,9.9812e-05,-0.000196944,0.999971,0,1608.58,1.16575e+06,0.000324832,0.000276052,6.43358e-05,0.000431114
0.00545,0.00015,-0.00015,0.999965,0,1540.47,1.09404e+06,9.94975e-05,9.73603e-05,-2.14E-06,0.000139224
0.005407,9.16242e-05,-0.000179797,0.999948,0,1590.15,1.07567e+06,0.000314846,0.000194721,-7.43E-05,0.000377581
0.00545,0.00015,-0.00015,0.999965,0,1540.47,1.09404e+06,9.94975e-05,9.73603e-05,-2.14E-06,0.000139224
0.00550019,9.9812e-05,-0.000196944,0.999971,0,1608.58,1.16575e+06,0.000324832,0.000276052,6.43358e-05,0.000431114
0.00559828,0.00017192,-0.00017192,0.999992,0,1550.09,601728,0.000264614,7.81121e-05,0.00017761,0.000328127
0.00559995,9.99539e-05,-0.000198483,0.999986,0,1606.24,1.26231e+06,0.000186174,0.000156224,7.4322e-05,0.000254147
0.00550406,0.000168705,-0.000168705,0.999983,0,1555.84,856259,0.000281553,0.000138026,5.54677e-05,0.000318434
0.00550019,9.9812e-05,-0.000196944,0.999971,0,1608.58,1.16575e+06,0.000324832,0.000276052,6.43358e-05,0.000431114
0.00550406,0.000168705,-0.000168705,0.999983,0,1555.84,856259,0.000281553,0.000138026,5.54677e-05,0.000318434
0.00559995,9.99539e-05,-0.000198483,0.999986,0,1606.24,1.26231e+06,0.000186174,0.000156224,7.4322e-05,0.000254147
0.00565,0.00015,-0.00015,0.999998,0,1517.69,310024,8.25581e-05,3.74466e-05,0.000120005,0.000150397
0.00567528,9.67872e-05,-0.000172114,0.999996,0,1574.28,1.01465e+06,5.5926e-05,7.48932e-05,5.5926e-05,0.000108924
0.00559828,0.00017192,-0.00017192,0.999992,0,1550.09,601728,0.000264614,7.81121e-05,0.00017761,0.000328127
0.00559995,9.99539e-05,-0.000198483,0.999986,0,1606.24,1.26231e+06,0.000186174,0.000156224,7.4322e-05,0.000254147
0.00559828,0.00017192,-0.00017192,0.999992,0,1550.09,601728,0.000264614,7.81121e-05,0.00017761,0.000328127
0.00567528,9.67872e-05,-0.000172114,0.999996,0,1574.28,1.01465e+06,5.5926e-05,7.48932e-05,5.5926e-05,0.000108924
0.00540007,1.8247e-06,-9.99E-05,0.999951,0,1819.82,2.33608e+06,-0.00526335,0.000195545,0.001734,0.00554508
0.0053048,1.59726e-05,-9.36E-05,0.999932,0,1753.6,2.10042e+06,-0.00140386,0.000255972,0.000904189,0.00168935
0.00540218,2.87143e-05,-0.000171286,0.999961,0,1607.3,1.10385e+06,0.000430696,0.000194721,-0.000144369,0.000494224
0.00535,5e-05,-0.00015,0.999952,0,1567.18,1.03249e+06,0.000240524,0,-0.000240524,0.000340152
