Points_0,Points_1,Points_2,Fraction Of Fluid,Heat Flux Spatial Distribution,Temperature,Temperature Gradient At Tgrdout,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude
0.00550021,6.95383e-05,-6.95383e-05,0.999934,0.0,1569.29,1122140.0,-0.000511026,0.0,0.0,0.000511026
0.00550021,3.04617e-05,-6.95383e-05,0.999918,0.0,1590.05,1119100.0,-0.00102205,0.0,0.0,0.00102205
0.00543906,5e-05,-5e-05,0.999916,0.0,1566.55,1047570.0,-0.000255513,0.0,0.000255513,0.00036135
0.00543906,5e-05,-5e-05,0.99991,0.0,1588.94,1050200.0,-0.000511026,0.0,0.000511026,0.0007227
0.00543906,5e-05,-5e-05,0.999916,0.0,1566.55,1047570.0,-0.000255513,0.0,0.000255513,0.00036135
0.00550021,3.04617e-05,-6.95383e-05,0.999918,0.0,1590.05,1119100.0,-0.00102205,0.0,0.0,0.00102205
0.00555,5e-05,-5e-05,0.999978,0.0,1552.06,913386.0,-0.000255513,0.0,-0.000255513,0.00036135
0.00555,5e-05,-5e-05,0.999957,0.0,1571.32,1228590.0,-0.000511026,0.0,-0.000511026,0.0007227
0.00550021,6.95383e-05,-6.95383e-05,0.999934,0.0,1569.29,1122140.0,-0.000511026,0.0,0.0,0.000511026
0.00550021,3.04617e-05,-6.95383e-05,0.999918,0.0,1590.05,1119100.0,-0.00102205,0.0,0.0,0.00102205
0.00550021,6.95383e-05,-6.95383e-05,0.999934,0.0,1569.29,1122140.0,-0.000511026,0.0,0.0,0.000511026
0.00555,5e-05,-5e-05,0.999957,0.0,1571.32,1228590.0,-0.000511026,0.0,-0.000511026,0.0007227
0.00550001,2.58818e-06,1.33806e-07,0.999821,0.0,1806.82,2428140.0,-0.0209508,0.000143408,0.000145498,0.0209518
0.00540322,1.34063e-05,4.14142e-06,0.999794,0.0,1787.91,2169770.0,-0.0189518,-0.00012691,0.0028591,0.0191666
0.00550021,3.04617e-05,-6.95383e-05,0.999918,0.0,1590.05,1119100.0,-0.00102205,0.0,0.0,0.00102205
0.00543906,5e-05,-5e-05,0.99991,0.0,1588.94,1050200.0,-0.000511026,0.0,0.000511026,0.0007227
0.00550021,3.04617e-05,-6.95383e-05,0.999918,0.0,1590.05,1119100.0,-0.00102205,0.0,0.0,0.00102205
0.00540322,1.34063e-05,4.14142e-06,0.999794,0.0,1787.91,2169770.0,-0.0189518,-0.00012691,0.0028591,0.0191666
0.00559526,1.51692e-05,5.69672e-06,0.999885,0.0,1800.86,2698650.0,-0.0198844,0.000704927,-0.00308233,0.0201342
0.00550001,2.58818e-06,1.33806e-07,0.999821,0.0,1806.82,2428140.0,-0.0209508,0.000143408,0.000145498,0.0209518
0.00555,5e-05,-5e-05,0.999957,0.0,1571.32,1228590.0,-0.000511026,0.0,-0.000511026,0.0007227
0.00550021,3.04617e-05,-6.95383e-05,0.999918,0.0,1590.05,1119100.0,-0.00102205,0.0,0.0,0.00102205
0.00555,5e-05,-5e-05,0.999957,0.0,1571.32,1228590.0,-0.000511026,0.0,-0.000511026,0.0007227
0.00550001,2.58818e-06,1.33806e-07,0.999821,0.0,1806.82,2428140.0,-0.0209508,0.000143408,0.000145498,0.0209518
0.00520012,9.98749e-05,2.50252e-06,0.999521,0.0,1656.35,1936990.0,-0.00743553,-0.000376944,0.00369022,0.00830945
0.0052,2.50148e-05,2.50148e-05,0.999469,0.0,1671.15,1885840.0,-0.00829934,-0.00011127,0.00390003,0.0091707
0.00513009,9.68454e-05,3.00933e-05,0.999465,0.0,1595.08,1884530.0,-0.00200549,6.61706e-05,0.00200549,0.00283697
0.00515,5e-05,5e-05,0.99931,0.0,1606.63,1857050.0,-0.00225529,6.61706e-05,0.00218912,0.00314372
0.00513009,9.68454e-05,3.00933e-05,0.999465,0.0,1595.08,1884530.0,-0.00200549,6.61706e-05,0.00200549,0.00283697
0.0052,2.50148e-05,2.50148e-05,0.999469,0.0,1671.15,1885840.0,-0.00829934,-0.00011127,0.00390003,0.0091707
0.00529991,0.000100087,-2.0516e-06,0.999583,0.0,1715.32,1997300.0,-0.0132525,-0.000834135,0.00289538,0.0135907
0.00530183,2.46151e-05,2.09569e-05,0.99969,0.0,1739.55,1975870.0,-0.0146649,-0.000331173,0.00290794,0.0149541
0.00520012,9.98749e-05,2.50252e-06,0.999521,0.0,1656.35,1936990.0,-0.00743553,-0.000376944,0.00369022,0.00830945
0.0052,2.50148e-05,2.50148e-05,0.999469,0.0,1671.15,1885840.0,-0.00829934,-0.00011127,0.00390003,0.0091707
0.00520012,9.98749e-05,2.50252e-06,0.999521,0.0,1656.35,1936990.0,-0.00743553,-0.000376944,0.00369022,0.00830945
0.00530183,2.46151e-05,2.09569e-05,0.99969,0.0,1739.55,1975870.0,-0.0146649,-0.000331173,0.00290794,0.0149541
0.00539625,0.0001054,-1.50228e-05,0.999598,0.0,1758.97,2146900.0,-0.0170341,-0.000676147,0.00244946,0.0172226
0.00543906,5e-05,-5e-05,0.999916,0.0,1566.55,1047570.0,-0.000255513,0.0,0.000255513,0.00036135
0.00540322,1.34063e-05,4.14142e-06,0.999794,0.0,1787.91,2169770.0,-0.0189518,-0.00012691,0.0028591,0.0191666
0.00543906,5e-05,-5e-05,0.99991,0.0,1588.94,1050200.0,-0.000511026,0.0,0.000511026,0.0007227
0.00540322,1.34063e-05,4.14142e-06,0.999794,0.0,1787.91,2169770.0,-0.0189518,-0.00012691,0.0028591,0.0191666
0.00543906,5e-05,-5e-05,0.999916,0.0,1566.55,1047570.0,-0.000255513,0.0,0.000255513,0.00036135
0.00539625,0.0001054,-1.50228e-05,0.999598,0.0,1758.97,2146900.0,-0.0170341,-0.000676147,0.00244946,0.0172226
0.00540322,1.34063e-05,4.14142e-06,0.999794,0.0,1787.91,2169770.0,-0.0189518,-0.00012691,0.0028591,0.0191666
0.00529991,0.000100087,-2.0516e-06,0.999583,0.0,1715.32,1997300.0,-0.0132525,-0.000834135,0.00289538,0.0135907
0.00530183,2.46151e-05,2.09569e-05,0.99969,0.0,1739.55,1975870.0,-0.0146649,-0.000331173,0.00290794,0.0149541
0.00529991,0.000100087,-2.0516e-06,0.999583,0.0,1715.32,1997300.0,-0.0132525,-0.000834135,0.00289538,0.0135907
0.00540322,1.34063e-05,4.14142e-06,0.999794,0.0,1787.91,2169770.0,-0.0189518,-0.00012691,0.0028591,0.0191666
0.00549986,0.000120126,-2.44728e-05,0.999627,0.0,1777.62,2382020.0,-0.018525,-0.000312374,0.0005575,0.0185361
0.00550021,6.95383e-05,-6.95383e-05,0.999934,0.0,1569.29,1122140.0,-0.000511026,0.0,0.0,0.000511026
0.00539625,0.0001054,-1.50228e-05,0.999598,0.0,1758.97,2146900.0,-0.0170341,-0.000676147,0.00244946,0.0172226
0.00543906,5e-05,-5e-05,0.999916,0.0,1566.55,1047570.0,-0.000255513,0.0,0.000255513,0.00036135
0.00539625,0.0001054,-1.50228e-05,0.999598,0.0,1758.97,2146900.0,-0.0170341,-0.000676147,0.00244946,0.0172226
0.00550021,6.95383e-05,-6.95383e-05,0.999934,0.0,1569.29,1122140.0,-0.000511026,0.0,0.0,0.000511026
0.00560367,0.000103677,-1.24927e-05,0.999695,0.0,1771.3,2301990.0,-0.017246,0.000628434,-0.00181527,0.0173527
0.00559526,1.51692e-05,5.69672e-06,0.999885,0.0,1800.86,2698650.0,-0.0198844,0.000704927,-0.00308233,0.0201342
0.00555,5e-05,-5e-05,0.999978,0.0,1552.06,913386.0,-0.000255513,0.0,-0.000255513,0.00036135
0.00555,5e-05,-5e-05,0.999957,0.0,1571.32,1228590.0,-0.000511026,0.0,-0.000511026,0.0007227
0.00555,5e-05,-5e-05,0.999978,0.0,1552.06,913386.0,-0.000255513,0.0,-0.000255513,0.00036135
0.00559526,1.51692e-05,5.69672e-06,0.999885,0.0,1800.86,2698650.0,-0.0198844,0.000704927,-0.00308233,0.0201342
0.00560367,0.000103677,-1.24927e-05,0.999695,0.0,1771.3,2301990.0,-0.017246,0.000628434,-0.00181527,0.0173527
0.00555,5e-05,-5e-05,0.999978,0.0,1552.06,913386.0,-0.000255513,0.0,-0.000255513,0.00036135
