power_W,region,n,v_mean,v_p95,v_max,T_mean_K,T_max_K,Q_pos_frac,Q_p95,Q_pos_p95,s_th_proxy_trim99,s_vis_proxy_trim99,Be_proxy_trim99
200,all,309,0.028383608936315308,0.08644972,0.230529,1987.6516432038834,4613.1,0.10679611650485436,1290.4748989902605,66411.03161632511,2544606.4481834597,129.30474014269427,0.9996642098233369
250,all,340,0.036474434173815365,0.10253830000000001,0.257197,2099.048789624183,4984.58,0.1,3302.513377790337,37660.9616115248,2339936.5938207116,211.3338047254698,0.999764001341585
300,all,338,0.03448135285101672,0.10411379999999999,0.23634600000000003,2082.7900088052975,4920.23,0.13313609467455623,10037.425337690498,99746.83537421943,2975124.0201846403,275.5083476098286,0.999732508279789
350,all,305,0.0354778800218189,0.108951,0.365373,2061.12606206089,5094.84,0.19344262295081968,23228.416257018256,56730.30958655169,2707794.1387017835,211.45697386442552,0.9998719015418441
400,all,285,0.030230019105597326,0.09073670000000005,0.185829,2133.419023391813,5475.490000000001,0.09824561403508772,976.5272810115795,90372.22670418714,3356109.863321036,118.35265810977229,0.9998955022635478
450,all,326,0.03137925583594434,0.10782275000000001,0.172517,2093.0611131682736,4674.87,0.08895705521472393,1195.7257408759033,62418.701813231004,3089428.9577860255,96.40337910159825,0.9999113705681898
200,heated,44,0.062433445454545454,0.11671490000000001,0.230529,2887.823977272727,4613.1,0.045454545454545456,-13930.62407713361,145781.23572773425,7649450.445903082,312.9990883110132,0.999934136586198
250,heated,53,0.06243440041928722,0.12826859999999995,0.257197,3298.6615094339622,4984.58,0.07547169811320754,18738.747172930605,107535.87435977293,6098427.328121571,259.36085688163826,0.9999358913520028
300,heated,42,0.0717863171957672,0.11976944999999997,0.23634600000000003,3448.461666666666,4920.23,0.07142857142857142,4745.1418166838375,55227.71246024223,9181275.726511303,696.652793279236,0.9995984754528902
350,heated,40,0.07494951916666666,0.13013229999999992,0.154952,3381.51175,5094.84,0.1,20004.36588340407,43290.333447066994,9028907.761272551,160.10668929299462,0.9999778889174337
400,heated,27,0.052974516666666666,0.1343915,0.1402,3997.6892592592594,5475.490000000001,0.07407407407407407,89952.33137557152,825517.1328885664,9725856.931200095,238.50073773451484,0.9999704516175723
450,heated,39,0.05581850573870573,0.1187339,0.126571,3496.5847985347987,4674.87,0.10256410256410256,24678.20336959062,38845.18610522122,9032427.770776967,233.9401848377629,0.9999626227662819
200,interface,148,0.04125446006756757,0.10616105000000005,0.230529,2115.2467905405406,4613.1,0.0472972972972973,-1029.8232696692708,111292.11903257476,3569996.2030466776,232.33074007324197,0.9993958989168681
250,interface,173,0.05158097452151573,0.12002880000000002,0.257197,2276.6519588953115,4984.58,0.046242774566473986,-1729.8469990686872,87542.5166629601,2995316.0123928334,345.3308292827042,0.9996121047612068
300,interface,157,0.05727336503007784,0.11737699999999994,0.23634600000000003,2310.224190552017,4920.23,0.10191082802547771,18903.122177980793,116225.16700370025,4733316.770565334,670.6865996735106,0.999523406478472
350,interface,137,0.06369918646159194,0.13967719999999992,0.365373,2307.5919708029196,5094.84,0.1897810218978102,36442.657595133554,118168.71579435565,4222822.508024486,253.5231444980476,0.9998629395372333
400,interface,128,0.053848617310267854,0.13419274999999997,0.185829,2392.8712890625,5475.490000000001,0.0390625,-4839.019644413019,716287.3085280119,4726349.879887467,235.54570522162655,0.9997982146402042
450,interface,135,0.06123884792328043,0.13143499999999997,0.172517,2343.548425749559,4674.87,0.08888888888888889,27879.023682026276,66502.777210736,4484983.987367845,212.21938311077554,0.9998810621847085
200,interface_heated,44,0.062433445454545454,0.11671490000000001,0.230529,2887.823977272727,4613.1,0.045454545454545456,-13930.62407713361,145781.23572773425,7649450.445903082,312.9990883110132,0.999934136586198
250,interface_heated,53,0.06243440041928722,0.12826859999999995,0.257197,3298.6615094339622,4984.58,0.07547169811320754,18738.747172930605,107535.87435977293,6098427.328121571,259.36085688163826,0.9999358913520028
300,interface_heated,41,0.07141579322493224,0.120101,0.23634600000000003,3433.1653658536584,4920.23,0.07317073170731707,5125.297013231138,55227.71246024223,9212209.298033345,709.0613562363594,0.9995890677109299
350,interface_heated,37,0.07622057747747749,0.1340511999999999,0.154952,3388.6635135135134,5094.84,0.10810810810810811,21917.364854851236,43290.333447066994,9183585.653676568,159.2909256174861,0.9999779827234436
400,interface_heated,26,0.0540755673076923,0.13459025000000002,0.1402,3991.450384615385,5475.490000000001,0.07692307692307693,97248.31702492994,825517.1328885664,9608579.884601578,247.1130004253083,0.9999693624423226
450,interface_heated,39,0.05581850573870573,0.1187339,0.126571,3496.5847985347987,4674.87,0.10256410256410256,24678.20336959062,38845.18610522122,9032427.770776967,233.9401848377629,0.9999626227662819
