x_m,y_m,z_m,FOF,HF,Temperature_K,TempGrad_Kpm,Vx,Vy,Vz,Vmag,x_mm,y_mm,z_mm,power_W,kNN,cond_A,grad_valid,Q,Q_pos_flag,vorticity_mag,strain2,is_interface,is_heated,is_interface_heated,is_slice_near_symmetry,slice_y_threshold_m
0.00481427,9.94357e-05,0.000395698,0.86763,0.0,1671.44,1142940.0,0.00412083,-0.00720469,-0.00823782,0.011694,4.81427,0.09943569999999999,0.395698,350,25,1.3622517123350106,1,-2594.868373195548,0,189.15618131508248,23079.767211243274,1,0,0,0,2e-05
0.00481705,9.49594e-05,0.000307159,0.999975,0.0,1635.36,1166410.0,0.00436639,-0.00328478,-0.00593707,0.0080687,4.81705,0.0949594,0.307159,350,25,1.576252165804137,1,-878.8199283346003,0,123.25608508067941,9353.671111377042,0,0,0,0,2e-05
0.00483006,3.00588e-05,0.00030314,0.999987,0.0,1647.18,1225750.0,0.005279,-0.00135699,-0.0109189,0.0122038,4.83006,0.0300588,0.30313999999999997,350,25,1.6280817020008613,1,-1442.7146829611952,0,91.97611904141947,7115.232602883073,0,0,0,0,2e-05
0.0048359,0.000184497,0.000386352,0.9978469999999999,0.0,1637.41,976815.0,0.00908345,-0.013187300000000002,-0.00632132,0.0172155,4.8359,0.184497,0.38635200000000003,350,25,1.3602506517223678,1,-10444.909731671174,0,159.48989509769487,33608.33278247921,0,0,0,0,2e-05
0.00483671,3.67121e-05,0.000390497,0.8014449999999999,0.0,1684.79,1200720.0,0.0027274599999999997,-0.00559445,-0.0114015,0.0129897,4.83671,0.0367121,0.39049700000000004,350,25,1.50500840264489,1,-1900.9481068454634,0,119.74716501027672,10971.587977690147,1,0,0,0,2e-05
0.00484236,0.000183493,0.000342361,0.998898,0.0,1612.26,1060240.0,0.00454172,-0.006593650000000001,-0.00316066,0.00860774,4.84236,0.18349300000000002,0.342361,350,25,1.8121234763196377,1,-10810.522296200847,0,222.66466701653204,46410.82156119324,0,0,0,0,2e-05
0.00485,5e-05,0.00025,0.99993575,0.0,1588.42875,1285555.0,0.002405195,0.0,-0.002405195,0.00340146125,4.8500000000000005,0.05,0.25,350,25,1.8123420922651565,1,-3356.158772439694,0,108.72279579405192,12622.640707516945,0,0,0,0,2e-05
0.00485,5e-05,0.00045,0.60289,0.0,1704.81,1227420.0,0.00189386,-0.00847492,-0.00796213,0.0117816,4.8500000000000005,0.05,0.45,350,25,1.7050829494912227,1,-3707.9299332858136,0,130.47931629923988,15928.285857530169,1,0,0,0,2e-05
0.00485,9.32028e-05,0.00045,0.60289,0.0,1704.81,1227420.0,0.00189386,-0.00847492,-0.00796213,0.0117816,4.8500000000000005,0.09320279999999999,0.45,350,25,1.3832479629694918,1,-7156.621890705755,0,147.99554140484875,25264.583919268658,1,0,0,0,2e-05
0.00485206,0.000132891,0.000253284,0.9999800000000001,0.0,1753.72,1412200.0,0.0135767,-0.00293178,-0.0195624,0.0239919,4.85206,0.132891,0.253284,350,25,1.7786521938577553,1,-1536.5842721808076,0,97.73552413224866,7849.284883064295,0,0,0,0,2e-05
0.00487964,0.000204354,0.000288828,0.999963,0.0,1715.89,1207620.0,0.0186696,-0.0105557,-0.0175348,0.0277028,4.87964,0.20435399999999998,0.288828,350,25,2.3737688506118273,1,-17756.644739905358,0,97.4328610268156,40259.8706837461,0,0,0,0,2e-05
0.00488875,0.000102862,0.000197138,0.999926,0.0,1697.9,1380940.0,0.00964112,0.00199664,-0.0120952,0.0155959,4.88875,0.10286200000000001,0.197138,350,25,2.323601946765116,1,822.2852536129617,1,96.62189194277188,3023.324494074419,0,0,0,0,2e-05
0.00489659,0.000206362,0.000411992,0.999987,0.0,1735.89,1184870.0,0.0287034,-0.0216197,-0.0227537,0.0425327,4.89659,0.206362,0.411992,350,25,2.1324953162245777,1,-42568.37110795034,0,180.82026690905408,101484.72667843146,0,0,0,0,2e-05
0.00489659,0.000206363,0.000411992,0.999987,0.0,1735.89,1184870.0,0.0287034,-0.0216197,-0.0227537,0.0425327,4.89659,0.206363,0.411992,350,25,2.132492251115663,1,-42567.669075656304,0,180.8192769715693,101483.14361357315,0,0,0,0,2e-05
