kNN,region,threshold,threshold_value,phi_350,phi_400,ratio_350_400,diff_350_400,direction
8,all,Q>0,0.0,0.15845070422535212,0.09523809523809523,1.6637323943661975,0.06321260898725689,350>400
8,all,Q>posP50,6467.90324320746,0.07746478873239436,0.04395604395604396,1.7623239436619715,0.0335087447763504,350>400
8,all,Q>posP75,36902.756048333016,0.03169014084507042,0.02564102564102564,1.2359154929577465,0.006049115204044782,350>400
8,all,Q>posP90,188221.57854522474,0.01056338028169014,0.02197802197802198,0.4806338028169014,-0.011414641696331839,350<400
8,heated,Q>0,0.0,0.075,0.14814814814814814,0.50625,-0.07314814814814814,350<400
8,heated,Q>posP50,146754.21954386693,0.0,0.14814814814814814,0.0,-0.14814814814814814,350<400
8,heated,Q>posP75,440417.5270013951,0.0,0.07407407407407407,0.0,-0.07407407407407407,350<400
8,heated,Q>posP90,668014.2289189949,0.0,0.07407407407407407,0.0,-0.07407407407407407,350<400
8,interface,Q>0,0.0,0.11678832116788321,0.0703125,1.6609894566098946,0.04647582116788321,350>400
8,interface,Q>posP50,56465.29231288342,0.058394160583941604,0.046875,1.245742092457421,0.011519160583941604,350>400
8,interface,Q>posP75,215498.25055635368,0.0072992700729927005,0.046875,0.15571776155717762,-0.0395757299270073,350<400
8,interface,Q>posP90,637922.2765166571,0.0,0.015625,0.0,-0.015625,350<400
8,interface_heated,Q>0,0.0,0.08108108108108109,0.15384615384615385,0.527027027027027,-0.07276507276507277,350<400
8,interface_heated,Q>posP50,146754.21954386693,0.0,0.15384615384615385,0.0,-0.15384615384615385,350<400
8,interface_heated,Q>posP75,440417.5270013951,0.0,0.07692307692307693,0.0,-0.07692307692307693,350<400
8,interface_heated,Q>posP90,668014.2289189949,0.0,0.07692307692307693,0.0,-0.07692307692307693,350<400
9,all,Q>0,0.0,0.17482517482517482,0.06934306569343066,2.521163047478837,0.10548210913174416,350>400
9,all,Q>posP50,6533.155861489533,0.08741258741258741,0.029197080291970802,2.9938811188811187,0.05821550712061661,350>400
9,all,Q>posP75,31278.339909713082,0.038461538461538464,0.01824817518248175,2.107692307692308,0.020213363279056713,350>400
9,all,Q>posP90,121195.15834282245,0.017482517482517484,0.014598540145985401,1.1975524475524477,0.002883977336532083,350>400
9,heated,Q>0,0.0,0.1,0.1111111111111111,0.9000000000000001,-0.0111111111111111,350<400
9,heated,Q>posP50,97755.45255326759,0.025,0.1111111111111111,0.22500000000000003,-0.08611111111111111,350<400
9,heated,Q>posP75,262538.1440380154,0.0,0.1111111111111111,0.0,-0.1111111111111111,350<400
9,heated,Q>posP90,723921.6242221367,0.0,0.1111111111111111,0.0,-0.1111111111111111,350<400
9,interface,Q>0,0.0,0.1386861313868613,0.0390625,3.5503649635036494,0.09962363138686131,350>400
9,interface,Q>posP50,48674.249878715054,0.051094890510948905,0.03125,1.635036496350365,0.019844890510948905,350>400
9,interface,Q>posP75,180596.29486401283,0.029197080291970802,0.03125,0.9343065693430657,-0.002052919708029198,350<400
9,interface,Q>posP90,763152.0518490219,0.0,0.0234375,0.0,-0.0234375,350<400
9,interface_heated,Q>0,0.0,0.10810810810810811,0.11538461538461539,0.9369369369369369,-0.007276507276507277,350<400
9,interface_heated,Q>posP50,97755.45255326759,0.02702702702702703,0.11538461538461539,0.23423423423423423,-0.08835758835758836,350<400
9,interface_heated,Q>posP75,262538.1440380154,0.0,0.11538461538461539,0.0,-0.11538461538461539,350<400
9,interface_heated,Q>posP90,723921.6242221367,0.0,0.11538461538461539,0.0,-0.11538461538461539,350<400
10,all,Q>0,0.0,0.1793103448275862,0.09854014598540146,1.8196679438058747,0.08077019884218474,350>400
10,all,Q>posP50,6828.976340895664,0.10344827586206896,0.043795620437956206,2.362068965517241,0.05965265542411276,350>400
10,all,Q>posP75,30225.039920510797,0.05172413793103448,0.025547445255474453,2.0246305418719213,0.02617669267556003,350>400
10,all,Q>posP90,127436.30907176193,0.017241379310344827,0.021897810218978103,0.7873563218390804,-0.004656430908633276,350<400
10,heated,Q>0,0.0,0.125,0.18518518518518517,0.675,-0.060185185185185175,350<400
10,heated,Q>posP50,63598.4420755772,0.025,0.14814814814814814,0.16875,-0.12314814814814815,350<400
10,heated,Q>posP75,182330.09437551477,0.0,0.1111111111111111,0.0,-0.1111111111111111,350<400
10,heated,Q>posP90,467469.6900254853,0.0,0.07407407407407407,0.0,-0.07407407407407407,350<400
10,interface,Q>0,0.0,0.1897810218978102,0.0703125,2.6991078669910786,0.11946852189781021,350>400
10,interface,Q>posP50,42742.90596739158,0.08759124087591241,0.0546875,1.6016684045881127,0.03290374087591241,350>400
10,interface,Q>posP75,121383.91716247922,0.043795620437956206,0.046875,0.9343065693430658,-0.0030793795620437936,350<400
10,interface,Q>posP90,455928.09989022545,0.0072992700729927005,0.0234375,0.31143552311435524,-0.0161382299270073,350<400
10,interface_heated,Q>0,0.0,0.13513513513513514,0.19230769230769232,0.7027027027027027,-0.057172557172557176,350<400
10,interface_heated,Q>posP50,63598.4420755772,0.02702702702702703,0.15384615384615385,0.17567567567567569,-0.12681912681912683,350<400
10,interface_heated,Q>posP75,182330.09437551477,0.0,0.11538461538461539,0.0,-0.11538461538461539,350<400
10,interface_heated,Q>posP90,467469.6900254853,0.0,0.07692307692307693,0.0,-0.07692307692307693,350<400
11,all,Q>0,0.0,0.17465753424657535,0.09057971014492754,1.9282191780821918,0.08407782410164781,350>400
11,all,Q>posP50,8178.328914436839,0.10273972602739725,0.03260869565217391,3.150684931506849,0.07013103037522334,350>400
11,all,Q>posP75,46308.080042926835,0.04794520547945205,0.025362318840579712,1.8904109589041094,0.02258288663887234,350>400
11,all,Q>posP90,140597.8695298763,0.00684931506849315,0.021739130434782608,0.3150684931506849,-0.014889815366289458,350<400
11,heated,Q>0,0.0,0.125,0.14814814814814814,0.84375,-0.02314814814814814,350<400
11,heated,Q>posP50,102455.68496423733,0.025,0.14814814814814814,0.16875,-0.12314814814814815,350<400
11,heated,Q>posP75,183768.56345276962,0.0,0.07407407407407407,0.0,-0.07407407407407407,350<400
11,heated,Q>posP90,634819.6481351308,0.0,0.07407407407407407,0.0,-0.07407407407407407,350<400
11,interface,Q>0,0.0,0.1897810218978102,0.0625,3.0364963503649633,0.1272810218978102,350>400
11,interface,Q>posP50,49770.57986603206,0.072992700729927,0.0546875,1.3347236704900938,0.018305200729927,350>400
11,interface,Q>posP75,136356.16356101813,0.021897810218978103,0.046875,0.4671532846715329,-0.024977189781021897,350<400
11,interface,Q>posP90,453549.99749915535,0.0,0.015625,0.0,-0.015625,350<400
11,interface_heated,Q>0,0.0,0.13513513513513514,0.15384615384615385,0.8783783783783784,-0.018711018711018712,350<400
11,interface_heated,Q>posP50,102455.68496423733,0.02702702702702703,0.15384615384615385,0.17567567567567569,-0.12681912681912683,350<400
11,interface_heated,Q>posP75,183768.56345276962,0.0,0.07692307692307693,0.0,-0.07692307692307693,350<400
11,interface_heated,Q>posP90,634819.6481351308,0.0,0.07692307692307693,0.0,-0.07692307692307693,350<400
12,all,Q>0,0.0,0.17465753424657535,0.07885304659498207,2.214975093399751,0.09580448765159327,350>400
12,all,Q>posP50,7532.632196052011,0.09246575342465753,0.021505376344086023,4.299657534246575,0.07096037708057151,350>400
12,all,Q>posP75,36777.16168087619,0.0410958904109589,0.017921146953405017,2.293150684931507,0.023174743457553885,350>400
12,all,Q>posP90,98708.73434809223,0.0136986301369863,0.014336917562724014,0.9554794520547945,-0.0006382874257377137,350<400
12,heated,Q>0,0.0,0.1,0.14814814814814814,0.675,-0.048148148148148134,350<400
12,heated,Q>posP50,52641.601157529105,0.05,0.1111111111111111,0.45000000000000007,-0.0611111111111111,350<400
12,heated,Q>posP75,195810.06506224867,0.0,0.1111111111111111,0.0,-0.1111111111111111,350<400
12,heated,Q>posP90,457079.1789174384,0.0,0.07407407407407407,0.0,-0.07407407407407407,350<400
12,interface,Q>0,0.0,0.18248175182481752,0.046875,3.8929440389294405,0.13560675182481752,350>400
12,interface,Q>posP50,37008.85905109998,0.06569343065693431,0.0390625,1.6817518248175183,0.02663093065693431,350>400
12,interface,Q>posP75,82221.23674080477,0.0364963503649635,0.03125,1.167883211678832,0.005246350364963501,350>400
12,interface,Q>posP90,459406.9257600326,0.0072992700729927005,0.015625,0.46715328467153283,-0.0083257299270073,350<400
12,interface_heated,Q>0,0.0,0.10810810810810811,0.15384615384615385,0.7027027027027027,-0.04573804573804574,350<400
12,interface_heated,Q>posP50,52641.601157529105,0.05405405405405406,0.11538461538461539,0.46846846846846846,-0.061330561330561334,350<400
12,interface_heated,Q>posP75,195810.06506224867,0.0,0.11538461538461539,0.0,-0.11538461538461539,350<400
